Record_Number,Customer_Id,Customer_Name,Customer_SurName,Customer_Address,Customer_Zip_Code,Customer_National_Id,Customer_Birth_Date
1,1,amirhossein,fardi,tehran,1495686595,0235343680,1998-07-12
2,2,amir,fardi,tehran-torabi,1495586595,0235663680,1999-07-14
3,3,hossein,fardi,tehran-hosseine,1495686985,0335343680,1956-07-12
4,4,amirreza,akbari,tehran-navobat,1495686595,0235334480,1996-09-12
5,5,mersad,raadi,tehran-chitgar,1495686595,0235563680,1968-03-14
6,6,farzin,hojabri,tehran-shariati,1495686595,0235883680,1978-05-15
7,7,hossein,mafi,tehran-golhak,149566595,0235398680,1958-10-16
8,8,mehri,rahmti,tehran-azadi,1495686595,0235334680,1955-12-14
9,9,farank,gafari,tehran-damavand,945886595,2035356680,1944-03-22
10,10,yashar,fardi,tabriz,1495646595,0233443680,2001-12-12
11,11,iman,hojabri,mashhad,1499696595,2340235680,2002-12-13
12,12,yaser,akbari,tehran-khorasan,1495686595,133403680,2003-06-22
13,13,nser,fardi,tehran-jamaran,1686455595,4150343680,1954-03-23
14,14,akbar,fardi,tehran-niavaran,1455686595,2055343680,1945-01-24
15,15,reza,akbari,tehran-sabalan,1953586595,2653436800,1946-02-30
16,16,liela,akbari,ahvaz,1495682395,2705343680,1947-03-31
17,17,akbar,gafari,shiraz,1495634595,2853043680,1948-04-22
18,18,amirhossein,gafari,esfehan,1495457595,2950343680,1949-05-24
19,19,akbar,hojabri,bojnord,1495684695,2305344680,1950-06-19
20,20,farzin,fardi,birjand,1495688995,2035343667,1951-07-24
21,21,amirhossein,hojabri,shistan,1495235695,2350343675,1952-08-22
22,22,akbar,fardi,oromie,1495623555,2305343694,1953-09-26
23,23,amirhossein,fardi,razie,1495686546,2305343696,1954-10-01
24,24,amirhossein,fardi,tehran-tehranparse,1455686595,2305343688,1955-11-02
25,25,akbar,fardi,tehran-jamshide,1491386595,2305343623,1955-12-03
26,26,farzin,hojabri,tehran-bhonar,1495623595,2353043656,1956-09-12
27,27,amirreza,rahmti,tehran-valiasr,1495466595,2305343666,2015-09-14
28,28,amirhossein,akbari,tehran-kargar,1495626595,2506343680,2012-08-16
29,29,akbar,hojabri,tehran-jomhorie,1494666595,7753430680,2013-07-17
30,30,amirhossein,fardi,tehran-koynasr,1495266595,0885343640,2009-07-18
31,31,farzin,hojabri,tehran-dolatabad,1423686595,2904053480,2009-07-19
32,32,amirhossein,gafari,tehran-shian,1495682395,2305343450,2009-07-20
33,33,farank,akbari,tehran-esteglal,1495686595,2305347680,2007-07-21
34,34,amirhossein,fardi,tehran-sadr,1495682395,2302443620,2007-07-22
35,35,akbar,fardi,tehran-tajrish,1495634595,2205343400,2006-07-22
36,36,amirreza,akbari,tehran-farmanie,1495456595,6605343680,2009-07-23
37,37,amirhossein,fardi,tehran-ponak,1424686595,2304566680,2004-07-24
38,38,farank,raadi,tehran-sohanak,1395686595,2463043686,2021-07-25
39,39,farank,fardi,tehran-afsarie,1494686595,2360366680,2020-07-26
40,40,amirhossein,raadi,tehran-narmak,1495456595,5345034680,2018-07-12
41,41,akbar,gafari,tehran-tajrish,1495454225,5605743680,2015-07-27
42,42,amirhossein,fardi,tehran-tajrish,1495686425,5753083680,2014-07-28
43,43,farank,hojabri,tehran-tajrish,1495684495,5530663680,2013-07-29
44,44,amirhossein,hojabri,tehran-tajrish,1495686395,6780343680,1990-07-30
45,45,farzin,gafari,tehran-tajrish,1495687895,5340363680,1996-07-10
46,46,amirreza,rahmti,tehran-esteglal,1495666595,4432303680,1995-07-11
47,47,amirhossein,rahmti,tehran-esteglal,1495622595,3603343680,1994-07-13
48,48,akbar,gafari,tehran-esteglal,1495356595,6630743680,1993-07-07
49,49,amirhossein,fardi,tehran-esteglal,155686595,8802343680,1999-07-08
50,50,akbar,hojabri,tehran-esteglal,1395686595,8753043680,1991-07-09
51,51,nima,shahrokhi,tehran-marzdaran,1195678595,1153043680,1999-07-09
